,pid,name,rent,bedroom,ft2,longitude,latitude
93,6741634495,Gorgeous 1x1 Available NOW! Renovated with washer/dryer!,1635,1,792,-121.972017,38.354256
94,6741634487,Haight Ashbury/100 Broderick&Haight/Great Views/Available Now!!,4295,1,800,-122.438709,37.771056
95,6741634212,"Granite counters,  large floorplan, fitness, walk to Google shuttle",3095,2,1060,-121.972061,37.325429
96,6741632674,Santa Clara 4 plex for rent  up stairs,1650,,,-121.984400,37.348300
97,6741633557,"Friendly On-site Management and Maintenance staff, Window Coverings",1971,1,657,-121.936169,37.702129
98,6741633556,OAKLAND ALL NEW STUDIO APT (Se Habla Espanol),1400,,,-122.223457,37.782073
99,6736062997,"$2000 Promo. Furnished house for rent. 4B 2B downtown, SJSU.",3999,4,2520,-121.867561,37.332631
100,6741633310,"Spacious Studio on 45th Ave & Vicente St - Open house on Tues, Nov. 6",1850,,450,-122.503285,37.738060
101,6741633289,2br 2ba townhome with garage in quiet Brisbane,3600,2,,-122.408735,37.693312
102,6741633172,1 Bedroom with All New Stainless Steel Appliances and New Carpet!!,2495,1,690,-122.462848,37.636965
103,6741632933,"Nest Thermostat & Keyless Entry, WiFi in All Common Areas, Gas Ranges",4168,1,1037,-122.084473,37.384740
104,6741632775,"Perfect Location In Campbell - Near Hwy 17, Downtown  Pruneyard",3045,2,1000,-121.941519,37.296060
105,6741632778,"LIMITED TIME ONLY! $2,050 0FF FREE RENT! HURRY COME AND APPLY TODAY!",2050,1,650,-122.021172,37.572235
106,6735521267,"1st MONTH FREE!! STUNNING, UPSCALE,*UNIQUE* GREAT LOCATION!!",2285,2,,-122.657550,38.464237
107,6741632454,"Beautiful SFR home in Discovery Bay, CA for Rent Soon!",2500,3,1503,-121.605400,37.898900
108,6741632159,Old world Charm,25995,3,1700,-122.067123,37.931326
109,6741631501,"WOW, THIS IS SPACIOUS !",2493,2,1073,-121.879238,37.678004
110,6741631433,1st Floor 2 Bedroom Here Now!,2561,2,906,-121.964081,37.558079
111,6741631455,38th Floor Large 1-Bedroom 14 ft Ceilings & Twin Peaks & City View,4115,,498,-122.389200,37.786400
112,6741631457,1BR/1BA Apt on the luxurious and exclusive Santana Row Available Now!,3552,1,765,-121.935600,37.316300
113,6741630954,STYLISH ONE BEDROOM APARTMENT HOME!!,2050,1,527,-121.990618,37.549976
114,6718396451,Huge 2 Bed 2 Bath in the Heart of the Marina!!!!,4200,2,,-122.436274,37.800814
115,6724323052,901 BRODERICK @ GOLDEN GATE AVE - 1 BEDROOM,2800,1,,-122.440213,37.778511
116,6741630568,"Your Sunny 1 Bed 1 Bath Home, Is Waiting For You!!",2848,1,730,-122.243513,37.537302
117,6719093033,$ 2575 / 2br - 800ft² - 2BR Large Apartment (mill valley),2575,2,800,-122.535886,37.881426
118,6741630181,23rd Floor Luxury 2-Bedroom with Bay Bridge & FiDi Views!,5784,2,1135,-122.389200,37.786400
119,6741630008,2 Bedroom Top Floor Penthouse for Lease - Call to tour our Condos!,5344,2,1772,-122.224231,37.464252
120,6741630008,2 Bedroom Top Floor Penthouse for Lease - Call to tour our Condos!,5344,2,1772,-122.224231,37.464252
121,6741630019,Studio Apartment in SOMA! JUST REDUCED!!,2899,,453,-122.399457,37.780917
122,6720117281,Lovely 3/2.5 bath in desirable shelter ridge!  2 caport + laundry room,3750,3,1356,-122.519285,37.901125
123,6741629866,155 Park Dartmouth - Completey remodeled family home in quiet culdesac,4295,5,2500,-121.830714,37.269298
124,6726179446,Chic 2/1 bath condo in desirable tibruon hills condo with bay views!,3195,2,1036,-122.495984,37.897525
125,6741629531,"Reduced Market Rent! Upgraded Finishes, Near VTA and River Oaks Park",2415,,588,-121.942298,37.401937
126,6738306776,"2/1 nicely remodeled apt with great views, decks & patio",2395,2,,-122.582490,37.986623
127,6738306532,"Cote D'azur 2/1 waterfront!   new carpet, paint and applainces!",5000,2,1041,-122.480583,37.846927
128,6741610734,COZY AND MODERN 1 BEDROOM 1 BATH AVAILABLE SOON,2265,1,790,-122.314525,38.326390
129,6741629024,Balcony / Patio | Gas Stove | Central Air Conditioning,2611,2,1035,-121.765542,37.233870
130,6741629037,Richmond district/390 29th Ave.&Geary/Remodeled/Available Now!!,3295,1,,-122.483600,37.759300
131,6741628575,Spacious Luxury Studio with Bay Bridge View!,4161,,518,-122.389200,37.786400
132,6741628040,Richmond district/390 29th Ave.&Geary/Remodeled/Available Now!!,3995,2,922,-122.483600,37.759300
133,6741611611,Open House Sat 11/10 Sun 11/11 10am-4pm,2060,,,-122.283726,37.825152
134,6741627823,Wonderful Private bed & bath,1530,1,,-122.389970,37.784947
135,6741627738,521 S. Willard Ave. Unit #6,2200,2,,-121.917126,37.319437
136,6741627694,Casa en renta en San Antonio del Mar,925,3,177,-76.912500,37.914600
137,6741627263,NICE LARGE STUDIO AT 2218 HASTE sT.,1895,,,-122.265173,37.865355
138,6741627226,Studio/Downtown/434 Leavenworth&O'farrell/Remodeled/Available Now!!,2095,,,-122.414524,37.785119
139,6740043951,Beautifully renovated  home on a desirable location,3200,,,-122.336900,37.972400
140,6738361664,"♥ Apartments in Petaluma, Basketball Court, Club House",2409,2,1028,-122.572294,38.224716
141,6741626969,1BR/1BA WITH EXTRA LARGE KITCHEN! Just Reduced!,3510,1,787,-122.399457,37.780917
142,6737545477,ðŸŒ… 1/2 Block to Beach! Pet Friendly & Renovated! $1500 Off 1st Month!,2650,1,650,-122.033763,36.952922
143,6741626820,Top Floor Inner Sunset 1 Bedroom,2495,1,850,-122.472075,37.765676
144,6725930491,Family home for kids and pets,6400,4,4000,-122.217378,37.816427
145,6741626789,NICE and LARGE REMODELED 2 BED/1BATH APARTMENT FOR RENT !!!,3295,2,,-122.268180,37.867330
146,6732701933,ðŸ‘£ Steps to the Sand! Renovated 1 Bedroom! $1500 off! Ground Floor!,2650,1,650,-122.033763,36.952922
147,6741626666,Pacific Heights One Bedroom Apartment For Rent,3600,1,1000,-122.440624,37.788995
148,6741626670,1/1 Beautiful views from your patio.Tour today at Serenity!,3295,1,708,-122.506086,37.948628
149,6741626602,"Unoccupied Now 11/3/2018, 1:30 pm - 4:30 pm$$$1500 per move in",1500,2,,-122.026300,37.950400
150,6741626511,Hidden Gem near Buena Vista Park! Furnished Only! ~ J.Wavro,4475,2,,-122.441932,37.765295
151,6737702650,Piedmont-Wonderful 4 plus bed 31/2 bath family home,6400,4,4000,-122.217378,37.816427
152,6741626458,Beautiful New 2 Bedroom 2 Bath in the Mission!,3875,2,,-122.407326,37.763427
153,6729962978,***Resort Living in Heart of San Jose on Golf Course***,3500,3,1950,-121.826168,37.388490
154,6729857961,"2BR 2BA apt, Double Master bedrooms! Generous storage, Modern kitchen",3295,2,1142,-121.888042,37.336653
155,6741626029,"Lovely 3Bd, 3Ba Newly Renovated two-story Condo in Mtn. View",4250,3,,-122.107919,37.407311
156,6741625988,"WELCOME HOME TO ROSE GARDEN! DANVILLE, IRON HORSE TRAIL.",3095,2,895,-121.991473,37.811287
157,6741626003,Three Bedroom+Two Bathroom Home Available! Get 8 Wks Free!,5350,3,1560,-122.183688,37.485174
158,6741626005,"1 Month FREE! Updated East Lake Merritt 1 Bds, private patios, Pets OK",2095,1,430,-122.251517,37.799464
159,6741625866,Downtown/610 Leavenworth&Geary/Remodeled/Available Now!!,3495,1,,-122.414826,37.786615
160,6741625799,NICE AND LARGE REMODELED 2 BED/ 1BATH AT 2032 Delaware St.,2950,2,750,-122.270898,37.874556
161,6741625556,BRAND NEW REMODEL! Spacious 2B1B Unit Apt.,2100,2,,-122.298500,37.915600
162,6741625475,PREMIUM 1X1! WITH LUSH PRIVATE PATIO,2173,1,,-121.886394,37.667984
163,6730650251,Beautiful 4 bedroom/2 bathroom house in lower Kensington hills,5300,4,1806,-122.276100,37.892700
164,6741625283,Downtown/455Hyde&O'Farrell/Newly Remodeled/Available Now!!,2795,1,,-122.416176,37.784960
165,6720319266,Large West Oakland condominium,2395,2,1288,-122.280400,37.836500
166,6741625211,"Lease Today, Seven Pools, EV Charging Stations",3165,2,1011,-121.930980,37.402790
167,6737189782,Cozy and woodsey furnished Berkeley Hills studio,1995,,665,-122.260400,37.891800
168,6738491293,Studio in North and East w/ Full Kitchen and Full Bath,1550,,500,-122.337189,37.936924
169,6739428934,Gorgeous Ranch-Style Home on Private Serene Cul-De-Sac,9500,4,2260,-122.200200,37.456300
170,6738565874,Pinole Condo for Rent,2300,2,996,-122.316649,38.002010
171,6741624823,2/2 Top floor w/ amazing views. Call in for more info and tour!,3635,2,946,-122.505814,37.947677
172,6729912245,Amazing Studio Move In Ready in Campbell,2095,,400,-121.935567,37.284942
173,6741624508,505 sq.ft Courtyard View! Junior One Bedroom Available!!!,3092,1,505,-122.409709,37.780181
174,6730805991,"Stainless Steel Appliances, Individual Climate Control, Fitness Center",3700,2,866,-122.491585,37.655134
175,6738164650,"Breakfast bars, Pre-wired for intrusion alarms (optional), Spa/Hot Tub",2040,2,1064,-121.495500,37.656700
176,6739495598,Bright & Cheery Two Bedroom Near Mills College,2300,2,700,-122.183621,37.774295
177,6741623986,Gorgeous renovation - approx 800sf apt in Cow Hollow! ~ J.Wavro,3595,1,,-122.438779,37.796670
178,6719140199,One Bedroom One Bath W/Pkg. North Waterfront Unfurnished,3000,1,,-122.405174,37.804763
179,6738583555,"$300/month price drop!! Large, updated house-like apartment!",6995,4,,-122.475346,37.783977
180,6741623930,"Visit Your New Home, New Construction, Dog Wash Stations",2781,1,757,-121.884600,37.327289
